"name","district","price","rooms_left"
"Chez Bore","Beyoglu","514.075640941874","4"
"Taksim City ivy Hostel","Beyoglu","516.8210110638131","16"
"Chambers of the Boheme","Beyoglu","583.6524200397992","9"
"Han Suite Hotel","Fatih","636.258445963378","16"
"Nomad Hostel Karaköy","Beyoglu","664.425746027449","12"
"The Reina Hotel","Fatih","688.838662365822","14"
"Marpalace Hotel","Fatih","719.100657417588","23"
"The Lola Hotel","Fatih","759.197800861177","26"
"Hotel Arinna","Fatih","769.789499129296","13"
"Divas Hotel","Fatih","771.680873820031","27"
"yenikapı hotel","Fatih","776.867026124402","8"
"Royal İnci Hotel","Kucukcekmece","789.081520974796","45"
"Paxx Istanbul Hostel&Hotel","Beyoglu","792.404366646891","12"
"Hotel Megaron","Fatih","835.609338366887","13"
"Brk Dream Suites Taksim","Beyoglu","840.526912562798","7"
"Men's Hostel in Fatih, Istanbul","Fatih","877.041984756233","17"
"zoya simge","Fatih","887.1895779682886","10"
"Cinar Apart","Beyoglu","894.214834807404","5"
"The Havana Residence","Beyoglu","896.511603408565","3"
"Cihangir apart","Beyoglu","899.530240775624","4"
"TAXİM HOSTEL","Beyoglu","913.155700687037","13"
"GRAND Deniz Hotel","Fatih","919.974109884161","14"
"Hotel Metropol 1","Fatih","927.151873398478","12"
"happy apart hotel istanbul","Beyoglu","949.004404018283","7"
"Hotel Tulip House","Fatih","956.65731857395","7"
"Chillout Lya Hostel & Lounge","Beyoglu","956.773074279527","33"
"HOTEL MİKLAGORD","Fatih","957.035593512097","14"
"Turvan Hotel","Fatih","959.30524314098","26"
"Ufuk Hotel","Beyoglu","969.7609440661267","4"
"Grand Fatih Hotel","Bilinmiyor","975.571065481304","12"
"biglife hotel","cihangir mh.e 5 yanyol boncuk sok no:1/1","978.852452916747","65"
"Taksim Peri Suite","Beyoglu","982.758289306098","13"
"Burak Apart","Bilinmiyor","984.271389058687","4"
"Ora Bella Hotel","Fatih","986.919313625716","7"
"Birlik Apart Hotel","Fatih","987.297588563863","20"
"Corner Garden Hotel","Beyoglu","992.593437697922","9"
"Hotel yıldız","Beyoglu","1022.19345542685","6"
"Windrose Hostel Istanbul","Beyoglu","1030.37100307026","18"
"Rosalie Palace","Fatih","1037.22988039928","23"
"Luna Suites Taksim","Beyoglu","1037.60815533742","5"
"Koçak Pansiyon","Fatih","1042.14745459519","7"
"HOTEL THE NEOM SUITES","Beyoglu","1048.77048526794","5"
"Pearl Hotel İstanbul","Fatih","1049.71295335813","26"
"Lemon Residence","Beyoglu","1050.8148721788","10"
"Le Valeria Deluxe","Fatih","1059.81017458655","9"
"Aram Kerasi Rooms","Beyoglu","1067.16996746563","3"
"TAKSİM PALACE İSTANBUL HOTEL","Beyoglu","1072.40944964695","7"
"OttomanZade","Fatih","1085.27079754396","10"
"MirApartOtel","Fatih","1091.32319655431","7"
"Asıl Kosova Hotel","Fatih","1102.955082841937","16"
"ARINÇ HOTEL","Fatih","1103.96893186099","17"
"CAMELLİA SUİT HOTEL","Kucukcekmece","1103.96893186099","15"
"Istanbul Harmony Hostel","Fatih","1103.968931860993","13"
"Seven Days Hotel - İstanbul","Fatih","1109.85866852352","7"
"THE BEYBÛN HOTEL İstiklal Street Taksim","Beyoglu","1119.31554197719","16"
"Mudem Boutique Hotel","Fatih","1122.368414058674","15"
"Istanbul Irish Hotel","Beyoglu","1122.72001642052","15"
"BeyazitHan Suites Old City","Gedikpaşa Caddesi","1145.26554746024","9"
"IMMORTELLE HOTEL","Fatih","1145.79478764749","32"
"The Private Airport Hotel","yavuz selim mahallesi kıbrıs caddesi no:43 arnavutköy istanbul yavuz selim mahallesi kıbrıs caddesi no:43 arnavutköy istanbul","1146.55133752378","31"
"Belya 4","Fatih","1159.16737845404","2"
"TRANSIT","Pendik","1165.3005391866","6"
"Express İnci Hotel","Kucukcekmece","1170.0043836889","24"
"Istanbul Fair Hotel","Kucukcekmece","1172.66033206568","68"
"rest at home","Beyoglu","1173.88696421219","9"
"şah otel","Fatih","1177.56686065173","8"
"BIG MOLLS HOTEL","Fatih","1185.74440829514","21"
"Honey Hotel","Fatih","1185.74440829514","6"
"GRAND BELLA VİSTA Hostel","Beyoglu","1188.53985565811","55"
"XALİLA HOSTEL&CAFE","Bilinmiyor","1188.60654997034","18"
"Taksim Palace Hotel","Beyoglu","1191.56605516328","4"
"Istanberry - Pera Apartments","Beyoglu","1195.96634284941","6"
"Istanberry - Royal Apartments","Beyoglu","1195.96634284941","2"
"Istanberry - Vanilla Apartments","Beyoglu","1195.96634284941","3"
"Arkem Hotel 1","Maltepe","1209.72325219434","5"
"Riverside Hotel","Fatih","1212.37117676137","9"
"Kadirga Studios","number 45/1","1214.36582504709","4"
"Nişanca suit otel","Fatih","1214.36582504709","1"
"HOTEL ÖZSEFA","Kucukcekmece","1217.66702589543","20"
"Victorious Hotel","Fatih","1218.04572148663","20"
"Taksim Otto suite","Beyoglu","1223.7700048370161","6"
"Adams suit","Beyoglu","1225.4055143657","7"
"MİRHAN HOTEL","Fatih","1225.4055143657","6"
"City plus Hotel (in istiklal Street)","Beyoglu","1225.405514365704","3"
"Greenbird Suites","Beyoglu","1226.63214651221","3"
"Taksim 52 suite","Beyoglu","1226.63214651221","9"
"R&W Suites Taksim","Beyoglu","1226.632146512212","10"
"Sultan Mansion","Fatih","1239.22869736981","6"
"mayza otel","Beyoglu","1241.4983469987","16"
"Grand Romanos Hotel","Fatih","1244.4621209275858","8"
"Blue Eye Suites","Fatih","1251.16478944246","2"
"Guest Suites","Maltepe","1251.16478944246","3"
"Life Span Hotels","Beyoglu","1251.544461297336","8"
"Halil Bey Konağı","Fatih","1259.34233708587","13"
"Yeni Hotel","Fatih","1261.16864378234","22"
"The Red Tent Suite 88","Beyoglu","1267.286240510904","12"
"Bazaar Hotels Old City","Fatih","1282.23947048743","30"
"City Köşk hotel","Fatih","1287.112207554298","4"
"Istanberry - Dream Apartments","Beyoglu","1287.963753837824","2"
"Beans House Suite","Beyoglu","1287.96375383783","10"
"Hotel Santa Hill","Beyoglu","1287.96375383783","10"
"Istanberry - Luna Apartments","Beyoglu","1287.96375383783","3"
"MITANI SUITES","Beyoglu","1287.96375383783","7"
"Taksim Celebi Suites","Beyoglu","1287.96375383783","6"
"holiday family apart","Fatih","1291.64365027736","8"
"Ararat Studio","Fatih","1291.6436502773659","1"
"Letter Hotel","Beyoglu","1293.70028846299","7"
"Pera Sultan Suit","Beyoglu","1297.10476290632","6"
"Taksim Mood","Beyoglu","1308.40762294636","14"
"Résidence Le Rêve","Beyoglu","1310.0431324750448","7"
"HOTEL ÜMİT YENİKAPI","Fatih","1316.58517058978","13"
"BLUE ROYAL HOTEL","Fatih","1320.67394441148","8"
"The House of Tulpan","Beyoglu","1322.44918376217","6"
"Mardy Hotel","Kucukcekmece","1324.76271823319","29"
"Mardy Suit Hotel","Kucukcekmece","1324.76271823319","29"
"Yenikapı Agora Otel","Fatih","1324.76271823319","2"
"casavilla Taksim","Beyoglu","1324.76271823319","8"
"KILIÇ MOTEL","karaburun mah liman cad barış sokak no 18","1324.762718233192","4"
"Istanberry - Joker Apartments","Beyoglu","1328.8514920549","1"
"Istanberry - Berry Life Apartments","Beyoglu","1334.16689802312","6"
"Istanberry - Paradise Apartments","Beyoglu","1334.16689802312","1"
"New Fatih Hotel","Fatih","1349.29536116344","12"
"Red White Hotel","Fatih","1349.29536116344","24"
"AURA HOTEL","Beyoglu","1352.5663802207991","6"
"Mayata Gallery","Beyoglu","1359.5172957177","1"
"The Red Tent Suite 23","Beyoglu","1359.517295717705","22"
"Tom Square Boutique Hotel","Fatih","1359.52012770058","5"
"Kiralık daire","Fatih","1360.313146336574","1"
"Amida Family apart","Fatih","1361.56168262856","6"
