RoomName,Price,RoomsLeft,MealPlan,CancelPolicy
"Çift Kişilik Oda - Özel Banyolu",43,2,"",""
"Çift Kişilik Oda - Ortak Banyolu",40,1,"",""
"Superior Çift Kişilik Oda - Şehir Manzaralı",44,2,"",""
"Deluxe Üç Kişilik Oda - Özel Banyolu",45,2,"",""
"Üç Kişilik Executive Oda",45,2,"",""
"Dört Kişilik Oda - Özel Banyolu",45,2,"",""
"8 Yataklı Karma Yatakhanede 1 Yatak",14,10,"",""
"Altı Yataklı Kadın Yatakhanesinde Yatak",16,3,"",""
"Tek Kişilik Oda - Ortak Banyolu",38,1,"",""
"Lüks Tek Kişilik Oda",42,2,"",""
