RoomName,Price,RoomsLeft,MealPlan,CancelPolicy
"Ekonomik Çift Kişilik Oda",35,1,"",""
"Çift Kişilik Oda - Özel Banyolu",44,1,"",""
"Stüdyo",46,1,"",""
"Standart Queen Oda",46,1,"",""
"Deluxe Queen Oda",50,1,"",""
"Superior Üç Kişilik Oda",55,1,"",""
"Deluxe King Stüdyo",55,1,"",""
"Junior Süit",55,1,"",""
"Standart Üç Kişilik Oda",59,1,"",""
"Deluxe Junior Süit",59,1,"",""
"Tek Yatak Odalı Süit",63,1,"",""
"İki Yatak Odalı Süit",68,1,"",""
"Loft",72,1,"",""
"Superior King Süit",85,1,"",""
"Aile Süiti",85,1,"",""
"Deluxe Aile Süiti",76,1,"",""
"Üç Yatak Odalı Daire - Üst Katlarda",102,1,"",""
"Beş Yatak Odalı Daire",119,2,"",""
