RoomName,Price,RoomsLeft,MealPlan,CancelPolicy
"Altı Yataklı Yatakhanede Yatak",15,10,"",""
"Standart İki Yataklı Oda - Özel Banyolu, Ortak Tuvalet",51,1,"",""
"Standart Çift Kişilik Oda - Özel Banyolu, Ortak Tuvalet",55,1,"",""
"Superior İki Yataklı Oda - Özel Banyolu",62,4,"",""
"Superior Çift Kişilik Oda - Özel Banyo",68,1,"",""
"Dört Kişilik Oda - Ortak Banyolu ve Balkonlu",85,1,"",""
"Dört Kişilik Yatakhanede Yatak - Ortak Banyolu",16,10,"",""
"Dört Yataklı Kadın Yatakhanesinde Yatak",16,1,"",""
"Özel Banyolu 6 Yataklı Kadınlara Özel Yatakhane Odasında Yatak",18,3,"",""
"6 Kişilik Karma Yatakhanede 1 Yatak - Özel Banyolu",18,6,"",""
"Standart Dört Yataklı Yatakhanede 1 Yatak - Özel Banyolu, Ortak Tuvalet",19,2,"",""
